DATE,TIME,CLOSE,HIGH,LOW,OPEN,VOLUME
24/01/2017,10:40:00,9.62,9.62,9.617,9.619,4524
24/01/2017,10:41:00,9.623,9.623,9.623,9.623,748
24/01/2017,10:44:00,9.626,9.626,9.617,9.617,2076
24/01/2017,10:47:00,9.617,9.617,9.617,9.617,1472
24/01/2017,10:48:00,9.616,9.616,9.615,9.615,397
24/01/2017,10:49:00,9.615,9.617,9.615,9.617,714
24/01/2017,10:50:00,9.62,9.62,9.62,9.62,100
24/01/2017,10:51:00,9.619,9.619,9.615,9.618,3858
24/01/2017,10:52:00,9.63,9.63,9.625,9.625,2754
24/01/2017,10:53:00,9.632,9.632,9.632,9.632,642
24/01/2017,10:54:00,9.634,9.634,9.628,9.628,1190
24/01/2017,10:55:00,9.627,9.627,9.627,9.627,10
24/01/2017,10:57:00,9.627,9.629,9.627,9.628,1112
24/01/2017,10:59:00,9.625,9.625,9.625,9.625,3762
24/01/2017,11:00:00,9.622,9.625,9.62,9.625,8315
24/01/2017,11:01:00,9.621,9.623,9.62,9.62,6210
24/01/2017,11:02:00,9.621,9.623,9.62,9.62,3442
24/01/2017,11:03:00,9.624,9.624,9.624,9.624,264
24/01/2017,11:04:00,9.623,9.623,9.62,9.62,1053
24/01/2017,11:07:00,9.625,9.629,9.625,9.629,722
24/01/2017,11:08:00,9.625,9.629,9.625,9.629,916
24/01/2017,11:09:00,9.629,9.629,9.625,9.625,470
24/01/2017,11:10:00,9.621,9.622,9.621,9.622,1340
24/01/2017,11:14:00,9.612,9.621,9.612,9.62,8981
24/01/2017,11:15:00,9.609,9.614,9.609,9.612,6658
24/01/2017,11:19:00,9.592,9.609,9.592,9.609,7237
24/01/2017,11:21:00,9.594,9.594,9.594,9.594,9
24/01/2017,11:22:00,9.6,9.6,9.6,9.6,1600
24/01/2017,11:27:00,9.607,9.607,9.595,9.6,22467
24/01/2017,11:28:00,9.601,9.607,9.601,9.605,2372
24/01/2017,11:30:00,9.596,9.6,9.596,9.6,1437
24/01/2017,11:32:00,9.596,9.596,9.596,9.596,64
24/01/2017,11:33:00,9.596,9.596,9.596,9.596,498
24/01/2017,11:39:00,9.597,9.597,9.597,9.597,23
24/01/2017,11:40:00,9.605,9.605,9.605,9.605,2188
24/01/2017,11:42:00,9.599,9.599,9.599,9.599,31
24/01/2017,11:46:00,9.605,9.605,9.603,9.603,2591
24/01/2017,11:49:00,9.602,9.611,9.602,9.605,2622
24/01/2017,11:50:00,9.598,9.602,9.598,9.602,427
24/01/2017,11:52:00,9.602,9.602,9.6,9.6,6248
24/01/2017,11:53:00,9.605,9.607,9.603,9.603,8597
24/01/2017,11:54:00,9.607,9.607,9.607,9.607,196
24/01/2017,11:56:00,9.606,9.606,9.606,9.606,2000
24/01/2017,11:57:00,9.605,9.605,9.605,9.605,1979
24/01/2017,11:58:00,9.603,9.604,9.602,9.602,371
24/01/2017,11:59:00,9.6,9.601,9.6,9.601,9344
24/01/2017,12:00:00,9.603,9.603,9.603,9.603,707
24/01/2017,12:03:00,9.605,9.605,9.605,9.605,839
24/01/2017,12:04:00,9.6,9.602,9.6,9.602,712
24/01/2017,12:05:00,9.603,9.603,9.602,9.602,1069
24/01/2017,12:06:00,9.6,9.604,9.6,9.604,1008
24/01/2017,12:07:00,9.594,9.594,9.594,9.594,81
24/01/2017,12:08:00,9.594,9.595,9.594,9.595,3077
24/01/2017,12:10:00,9.589,9.593,9.589,9.593,4788
24/01/2017,12:11:00,9.59,9.59,9.584,9.584,968
24/01/2017,12:12:00,9.583,9.583,9.583,9.583,15
24/01/2017,12:15:00,9.586,9.59,9.586,9.59,3063
24/01/2017,12:16:00,9.585,9.585,9.585,9.585,84
24/01/2017,12:19:00,9.582,9.591,9.582,9.591,189
24/01/2017,12:21:00,9.58,9.582,9.58,9.582,7000
24/01/2017,12:24:00,9.58,9.58,9.58,9.58,3109
24/01/2017,12:26:00,9.58,9.58,9.58,9.58,3000
24/01/2017,12:28:00,9.572,9.577,9.572,9.577,8062
24/01/2017,12:29:00,9.579,9.579,9.578,9.579,14000
24/01/2017,12:32:00,9.586,9.586,9.586,9.586,200
24/01/2017,12:36:00,9.593,9.593,9.592,9.592,879
24/01/2017,12:38:00,9.596,9.596,9.596,9.596,160
